H2,O2,O,OH,H2O,H,HO2,CO,CO2,HCO,Temperature
1.56709e-35,2.73701,9.92074e-43,4.06629e-59,2.24994e-65,6.5028e-57,7.12519e-54,2.63927e-71,4.32037e-77,6.90632e-128,501.418
3.43593,0.260401,0.152673,0.174385,1.35566,0.945825,0.871368,3.17247,1.06675,3.05045,945.624
1.52364e-80,2.73701,1.08328e-42,1.12621e-104,2.07854e-145,1.03042e-101,5.23012e-99,1.16915e-156,1.38764e-168,5.11777e-258,501.971
1.32962e-10,2.73701,3.6921e-17,3.64204e-17,1.89865e-18,3.78213e-27,1.29604e-19,9.84543e-21,3.10627e-22,1.5201e-47,501.774
0.696294,1.26986,0.735355,0.783686,1.87022,0.532821,2.08077,1.3559,1.16301,0.347728,1066.83
1.86048,0.526924,0.602362,0.579609,2.1946,1.17912,1.06886,2.34197,1.46627,1.62366,1118.07
0.279812,2.11669,0.0263105,0.0542088,0.824307,0.00685047,3.29121,0.544807,0.543281,0.00161759,778.759
1.65027,0.648572,0.663563,0.647255,2.15277,1.04496,1.252,2.18495,1.40454,1.30372,1112.58
2.36115e-21,2.73701,6.98522e-37,3.96741e-37,2.22018e-41,9.16274e-43,2.94676e-39,5.06188e-46,2.08229e-50,1.84435e-88,503.15
2.85507e-86,2.73701,2.50761e-43,6.58613e-84,3.79958e-124,2.1799e-80,1.99369e-78,3.29109e-130,9.68197e-136,1.07083e-208,505.327
2.38138,0.376161,0.408928,0.394715,2.091,1.2362,0.849809,2.66877,1.37584,2.17932,1096.19
0.00193792,2.72965,0.0012509,0.00223363,0.0123127,1.93663e-06,0.0624149,0.00293447,0.010788,2.27057e-09,505.912
2.4465e-150,2.73701,2.24536e-43,9.36911e-137,1.44669e-211,6.3984e-133,2.83653e-131,1.03775e-220,1.27529e-229,0,505.555
0.0639837,2.27354,0.165292,0.764048,0.733448,0.121799,3.7896,0.164589,0.733019,0.00710307,836.806
2.8799e-45,2.73701,1.24262e-42,2.58849e-69,6.29941e-86,1.38834e-66,1.34203e-63,7.34212e-94,4.23402e-102,4.31069e-160,503.787
