sfr_eff,uox_eff,bias,lwr_fr,fr_fr,fr_start,excess,max_excess,waste_U,waste_Np,waste_Pu,waste_Am,waste_Cm
0.999,0.9,-0.02528993968718518,1,12,32,-1344573.9920644914,262.66666666666606,1568373327.7010453,137721.41934645633,276047.1604381604,125994.04619828728,26846.498948115128
0.99,0.9,0.0679760979255114,2,13,27,254326.00793550874,4856.781740583072,2031060875.7900498,176359.11210037058,390939.3851872467,118600.92179198343,34378.274199909196
0.99,0.9,0.029160353985046433,3,14,24,-379540.6587311579,1000.0,2098615053.1735919,180309.23285272584,383360.0703894348,106523.53316192415,35148.28450859031
0.999,0.999,0.023009115245332223,2,13,34,-497707.32539782446,1000.0,1912728886.2465525,169157.03148207662,7763.862600205323,113496.84274932505,32974.34842960532
0.9,0.9,0.07460380177371581,3,11,27,367659.3412688417,6694.240784008754,2178860707.128617,187639.92206281982,701237.8295466441,111449.95772299019,36577.2803837542
0.9,0.99,0.029193987099641938,4,12,26,-371823.99206449126,1000.0,2136171926.951057,185582.18474719074,280828.8421182588,102393.0659449874,36176.15873585254
0.999,0.9,0.07182989242012469,2,12,32,305942.6746021753,6180.584042061411,2033983413.1780798,176800.05581227585,349636.93831433245,118954.39547647584,34464.22883902065
0.9,0.99,0.0331342941711921,1,10,25,-360157.3253978246,1000.0,1616549862.4446359,144886.75467017782,820694.6316067642,134193.16529030015,28243.26183470152
0.99,0.9,0.06314661465736868,3,10,38,180409.34126884205,3306.781740583072,2148602841.148939,185692.42066869122,395377.18820367294,110253.49341487366,36197.647394368694
0.9,0.9,-0.016107401891878398,1,14,21,-1193090.658731158,300.0,1608444525.627722,138989.13251818466,1012331.8321281692,127009.3992510276,27093.618535560603
0.99,0.99,0.014265576045694409,3,12,38,-624857.3253978246,1000.0,2039971980.1493664,177737.06120706248,65755.97308809713,104993.05639390631,34646.88244849427
0.99,0.9,-0.048161116749888794,3,12,30,-1685490.6587311581,0.0,1929687510.936533,166437.8785830021,354130.1381194137,98575.17727695627,32444.29481999855
0.99,0.999,-0.06849680403032127,4,14,31,-2006840.658731158,0.0,1921233229.385438,168330.26202242865,25056.480183436328,92500.69744346323,32813.1834813054
0.99,0.999,0.0727208889753359,3,12,34,341176.0079355088,6906.781740583072,2154542124.3167686,187823.648618851,36596.06985723661,111020.4174286553,36613.094818550046
0.9,0.999,0.043535688608295736,1,14,24,-188723.9920644912,1086.652508428564,1677458176.6012814,147661.02552664565,787314.3287065402,134665.72450100764,28784.059772912024
0.999,0.9,0.0785538287390671,4,13,27,439559.3412688422,8373.862389569287,2267587105.6769433,194474.54959700673,381965.49309661856,107161.14044912935,37909.577289914145
0.99,0.9,-0.049364700408097956,3,14,37,-1697640.6587311586,0.0,1924986722.4811347,166731.8410576272,354096.81379839336,98172.14002209474,32501.597912743593
0.99,0.99,0.08264830557182984,2,12,32,494109.34126884193,9173.4484072497,2036797736.643543,178563.83066582066,82501.7205273644,120290.51659997909,34808.047396620605
0.99,0.99,0.037429090678749,2,10,22,-257007.32539782472,1000.0,1955579981.4754298,170516.60792442356,79878.63540975805,115845.8276823991,33239.375233007064
0.9,0.9,0.09800478345141875,1,14,25,709526.0079355089,13384.006304027338,1798869245.1192956,155138.69596594616,1127843.3244599127,141600.1082144704,30241.707192867845
0.9,0.999,0.07266638621868127,3,11,36,340076.0079355087,6284.006304027338,2157083776.8837914,187621.5494176594,335283.25601147214,111145.05157459821,36573.69894230998
0.9,0.99,0.020461130920813142,3,14,21,-526073.9920644914,1000.0,2049733010.6930077,178674.06659378385,348108.5656092335,105582.45419992233,34829.536056396544
0.99,0.99,0.013669652012784,1,12,21,-684640.6587311577,1000.0,1612908061.7648747,142773.89938413547,104892.15492282477,131291.88395971255,27831.39585565939
0.999,0.9,0.04205716551709776,2,13,35,-180307.32539782464,1000.0,1971199304.2174997,172353.87338412346,340794.9768102391,115538.09020233876,33597.51956135722
0.9,0.999,-0.05425099768551618,4,14,37,-1768757.3253978253,0.0,1956041738.6489053,171031.04225776886,223214.261501107,93874.7307158616,33339.65564584734
0.99,0.99,0.016316311318453264,4,10,38,-584857.3253978249,1000.0,2099370498.5652447,183303.9755692873,60017.40309301647,101237.28809875653,35732.059767163635
0.999,0.9,-0.07647149638149037,4,10,22,-2144407.325397825,0.0,1928603871.7588239,166401.13327370354,326872.5237472428,92096.9919786217,32437.131933411
0.9,0.999,0.05904169287770292,3,11,23,121592.6746021753,2610.757188602176,2117442280.164076,185177.98634776432,333849.42884955264,109945.9839993506,36097.36698394859
0.999,0.999,0.09747949963387495,3,11,38,749409.3412688419,14723.4484072497,2201121152.1617293,191957.49591809107,7135.075261098394,113686.41433635302,37418.9195602449
0.9,0.99,0.012295961323701587,3,10,30,-658957.3253978243,1000.0,2030916112.1582162,176873.546437379,351370.4529050598,105135.4305028946,34478.554613463195
0.999,0.999,0.057571220661719075,2,13,24,80142.67460217544,1617.5970186875493,1993092854.1390529,174503.4739889546,8057.947124328139,117493.71148203412,34016.54842883699
0.99,0.99,0.0522467911341806,2,10,39,-7090.658731157891,1187.8788725103004,1985027703.5640037,173327.62408794928,80542.85306895858,117196.87169546618,33787.33605736828
0.9,0.99,0.05979263791279374,2,10,23,115526.00793550871,2411.020263166458,1981798300.7211661,174136.02089267995,509766.7650287752,118282.08878827437,33944.91956232184
0.999,0.9,-0.0748552322129505,3,14,21,-2110707.325397825,0.0,1872965943.0326157,162138.67739213735,319167.5129135024,95773.97636408768,31606.237088703365
0.9,0.99,-0.07274405181811539,1,11,39,-2123323.992064492,0.0,1448309326.5393813,131033.77305494805,726159.857295511,119953.09868675905,25542.853589372826
0.99,0.99,-0.01593389722817576,4,11,22,-1138823.992064491,300.0,2024029781.8801649,177259.37218486654,58122.92272736553,97949.28754332526,34553.76492260223
0.999,0.999,0.08195851453852651,3,12,39,495942.67460217566,9373.862389569287,2163496258.7677293,189422.06957447462,7014.919385345593,111959.73237460329,36924.68038532285
0.99,0.9,-0.06113640413506774,4,13,21,-1887907.3253978246,0.0,1946550726.9187386,169450.99394753447,352730.57724441786,93303.95487811333,33031.65152056362
0.99,0.99,0.031238347511504505,2,13,28,-358790.65873115807,1000.0,1952100643.2751744,170498.2352693822,78407.19889012791,114515.72383817923,33235.79378963687
0.9,0.99,-0.00594856520068994,2,11,31,-989457.3253978246,310.0558000524288,1861241512.3386512,163700.35304471257,470384.6123908871,110420.89504640728,31910.65977010634
0.9,0.999,-0.03779237695196234,2,10,32,-1524973.9920644918,262.66666666666606,1778678563.6196463,158372.2831950917,431160.8126135695,107174.36318838291,30872.041214676814
0.99,0.999,0.07760536951186969,3,13,27,421292.6746021755,7790.529056235915,2151987767.8095436,188503.4368415147,36831.9144446983,111498.48249837606,36745.6082205416
0.99,0.999,0.0849127483349309,4,14,26,554092.6746021752,10213.917375394725,2252578832.166902,195742.26277843895,29387.760778059255,107787.625415865,38156.69687925162
0.9,0.99,0.006112343075211052,4,10,32,-749557.3253978245,1000.0,2067423150.9239028,181338.10151971853,277463.92147768347,100322.75493770927,35348.84533433017
0.999,0.99,0.00477626383597822,1,10,22,-833490.6587311584,1000.0,1573740623.5897348,140844.77064472067,35199.25654949185,130591.22468462009,27455.344309579275
0.999,0.999,0.06685044580221147,1,11,28,198359.34126884196,4323.862389569287,1691563482.186889,150012.72532315907,11022.415535315387,137974.41037213246,29242.484514778527
0.9,0.999,0.031023372840351754,2,10,30,-360690.658731158,1000.0,1929010300.30191,169708.21112185981,463889.733902274,115008.07210286765,33081.791728475204
0.99,0.99,-0.006559628872350662,4,11,21,-979573.9920644914,300.0,2049808544.5213492,178986.40172334152,58744.185817049496,98951.33918666365,34890.42059249041
0.9,0.9,-0.0760282782591578,2,14,30,-2147773.992064491,0.0,1741542283.0678904,153025.84067980625,699645.338608239,102413.89893000976,29829.841213806532
0.99,0.999,0.08853951972686266,4,14,21,614976.007935509,11323.862389569287,2254589304.4536934,196348.56038224546,29507.215831975525,108149.0371852807,38274.884508017276
0.999,0.99,-0.07323551980854806,1,11,39,-2134573.9920644914,0.0,1453414657.8246758,130905.16447255698,32536.957969387746,119819.65870029302,25517.783486347274
0.9,0.999,-0.05118355650025772,2,12,26,-1742023.992064491,0.0,1761445652.262338,156498.27241954688,420670.3233749813,105408.73027672364,30506.733998463376
0.9,0.999,0.0842832853841384,1,11,31,482826.00793550874,9930.584042061411,1722258364.2654634,152493.0337026336,825766.0893023507,140264.07261846794,29725.979359782064
0.9,0.99,0.07144280187979477,2,14,33,307309.34126884205,6490.115073916386,2001689420.1981523,177167.50891035137,500062.8044045409,118682.15218211229,34535.85770588628
0.9,0.99,-0.02285164833192621,2,13,28,-1270107.3253978249,262.66666666666606,1843612991.423641,161330.28059351718,460158.97549351014,108497.11163128991,31448.653584940068
0.99,0.999,-0.055676771926784246,2,10,20,-1811657.3253978244,0.0,1775604158.7123654,155157.0686293011,45465.192334053456,105443.32819371378,30245.288637858666
0.999,0.9,0.0742950338413648,1,11,29,317242.6746021754,6297.250708728039,1724766935.0119376,150912.98539364449,302593.7419014341,138979.19356157305,29417.975234740534
0.99,0.9,0.011776657045091316,4,13,36,-660223.992064491,1000.0,2119599304.4483092,182807.9138867721,380396.25635289255,100548.862924294,35635.36079687255
0.99,0.99,0.028160236360682517,1,11,23,-444823.9920644911,1000.0,1629744124.1119938,144372.32033927942,106779.36409539769,133397.80317533753,28142.98142233836
0.999,0.99,0.07337863615400125,3,14,38,350242.6746021753,6123.862389569287,2151551191.189323,188209.47436385712,39976.52970086838,110869.25173127036,36688.305127205305
0.99,0.999,0.08872059220099726,3,14,26,609342.6746021752,11213.917375394725,2189065209.0856504,190524.4288543921,37140.17058957238,112606.56056810975,37139.566983131226
0.999,0.99,-0.0600569215098165,4,10,28,-1871657.3253978246,0.0,1933195681.6505864,169395.87599014357,35303.036547680706,93647.75496910894,33020.907191960636
0.9,0.9,0.07510352764246384,3,13,25,384776.0079355087,7267.339637360652,2190971065.1845546,188135.98373869958,698593.6675462582,111339.43572809175,36673.97935275163
0.999,0.999,-0.01596100581504871,3,14,28,-1145740.658731158,300.0,1977739060.665714,172317.12808405247,6363.75407674842,101664.3408707313,33590.356676568335
0.99,0.999,0.08978742807499732,4,13,25,631459.3412688421,11940.115073916386,2255320828.7976193,196605.77754764335,29612.172766816722,108352.2841976847,38325.02471418934
0.999,0.99,0.06252899299423234,3,11,29,174292.67460217516,3044.4589330222807,2123570511.2221806,185710.79332951122,39535.12935005104,110190.74246667085,36201.22883886459
0.999,0.999,0.09851393338108413,2,10,37,748309.341268842,14230.584042061411,2060309705.8365538,180786.9218833886,8409.62670650158,122320.36920368791,35241.40203613297
0.99,0.999,-0.026600394863920962,4,11,20,-1311607.3253978244,126.72246671909488,1982615032.8161101,175366.9887581651,26699.936608900985,96896.87584340505,34184.876263775506
0.99,0.999,0.08544210467243096,4,14,38,563242.6746021754,10767.339637360652,2245820833.7071953,196054.59790813128,29156.016637074204,107731.9162870649,38217.58141537167
0.999,0.99,0.09422775356380028,4,11,29,699442.6746021752,13157.195722902601,2274591912.8279963,197046.72125657255,41056.602580321516,108861.30511694727,38410.979352720584
0.99,0.999,0.009067229384251932,4,13,21,-708123.9920644911,1000.0,2082341678.431754,182164.87098314267,27393.637195478233,100348.30470503199,35510.010283366064
0.999,0.9,0.08601441890575082,4,11,22,571959.3412688416,10880.584042061411,2279813132.1225495,195540.16356742222,384104.446119839,108166.79139787178,38117.30100109594
0.999,0.99,0.03290358234581575,3,12,36,-320490.6587311582,1000.0,2053549183.3014567,180897.15780746916,38463.82722525015,106926.48489767757,35262.890695151276
0.99,0.999,0.009085785714123079,1,14,21,-759990.6587311579,1000.0,1588781152.5977056,142535.0548751549,78788.06149019908,130255.22014640753,27784.83709312606
0.9,0.9,-0.06539301152044236,1,12,35,-2008740.6587311572,0.0,1474769804.7011828,132338.2315304746,960783.3957959769,120694.47292821728,25797.136062333946
0.99,0.9,-0.049415838297135896,2,11,24,-1708540.658731158,0.0,1794894318.2194924,156571.7630295722,347684.9142320177,105843.5483737364,30521.059769967338
0.999,0.999,-0.0010852162144056737,2,11,21,-912423.9920644915,300.0,1881127190.1460278,164288.27799647342,7649.618887295097,111191.50388370633,32025.265956086172
0.99,0.99,0.013298731678418302,4,13,39,-630123.9920644914,1000.0,2096808625.7656977,183175.36698624236,59469.6750034949,100707.90969348676,35706.989664010485
0.9,0.9,-0.06988518084728662,4,11,29,-2029573.9920644923,0.0,1938729566.8570504,167779.08237335822,548517.2093179349,92573.22176187561,32705.740180624824
0.999,0.9,0.08023175185930717,1,10,35,417926.0079355087,8790.115073916386,1728923815.819093,151758.12750811613,304321.81141177996,140087.38565982436,29582.721626368355
0.9,0.999,-0.0946642558684558,1,14,27,-2491207.3253978244,0.0,1407779149.532869,128277.87485710361,680805.1775240047,116716.92288445256,25005.63709523117
0.999,0.99,0.07922170398253134,1,10,25,398859.3412688419,8840.115073916386,1706856522.7979827,151133.45725624784,37783.763292468706,140269.50720972446,29460.95255559281
0.9,0.99,-0.003517909496202537,4,14,35,-933390.6587311578,542.5253013333349,2063324809.1201308,179905.03445656446,267579.6200927948,98846.96275078753,35069.4927573227
0.99,0.999,-0.06722293703038403,4,10,37,-1988523.992064491,0.0,1912652463.2767198,168256.77140377014,25485.670732433504,92871.89683788795,32798.85770811825
0.9,0.9,-0.025402018456908107,1,10,34,-1346740.658731158,262.66666666666606,1556447947.733399,136839.5319227124,1011755.9256063666,126439.56244128113,26674.589669904974
0.999,0.99,-0.07254650071040161,4,14,32,-2070290.6587311574,0.0,1910156923.87051,167632.10114253417,34874.39823850443,92127.80529676849,32677.08863551701
0.9,0.9,0.09495331709331722,2,11,32,689542.6746021755,13673.4484072497,2093153737.6922116,180345.97816198482,837023.7992430761,121825.48893716301,35155.44739517029
0.999,0.9,-0.045209684672066014,1,10,34,-1674607.3253978242,0.0,1501866666.590581,134083.63372326712,268882.9846045545,123797.29426601886,26137.37317545084
0.9,0.9,-0.05510559951803904,2,13,21,-1810423.9920644923,0.0,1810932259.8695438,155873.60215243723,719882.1994026968,104982.8035339023,30384.964924716947
0.999,0.9,0.09263241826926946,1,11,30,624426.0079355085,11557.195722902601,1766703151.4653141,153962.84606751485,308670.0289702558,141437.60467764825,30012.49482190073
0.99,0.99,0.034884090622882113,3,11,37,-277323.99206449126,1000.0,2061580751.277626,181154.374973719,67337.15243394079,107292.3494754486,35313.030901489554
0.99,0.99,0.07799651075287722,2,14,31,417792.6746021753,7946.160461168271,2030396340.8750098,178233.12288197398,81745.43613266615,119518.11523738503,34743.58141730336
0.9,0.999,-0.039630593914949545,2,14,37,-1543923.9920644914,0.0,1797237565.4172902,158960.2081444321,419723.74378405215,106410.71065202945,30986.647400184902
0.9,0.99,-0.04953422632423343,1,14,33,-1743640.6587311574,0.0,1499749905.8731368,134634.81336975502,737927.7699454254,122501.60304603833,26244.816475627955
0.99,0.999,-0.09545611176444267,4,11,31,-2463573.992064492,0.0,1843790559.4611,163185.91871683742,24602.604862428147,89955.87791150955,31810.379358332342
0.99,0.99,0.05713329462234118,1,14,34,41509.341268841934,2277.5566580013547,1695393793.903112,149682.017538933,108315.69002899733,136198.0223047423,29178.018535386644
